date,state,sector,value
2016,Sabah,p4,2357.442
2016,Sabah,p5,33574.808
2016,Sabah,p6,301.656
2016,Sarawak,p0,124512.946
2016,Sarawak,p1,16631.881
2016,Sarawak,p2,29252.866
2016,Sarawak,p3,33566.582
2016,Sarawak,p4,3633.388
2016,Sarawak,p5,40981.962
2016,Sarawak,p6,446.268
2016,Selangor,p0,281838.865
2016,Selangor,p1,3872.074
2016,Selangor,p2,642.954
2016,Selangor,p3,78710.259
2016,Selangor,p4,16242.991
2016,Selangor,p5,173869.515
2016,Selangor,p6,8501.073
2016,Terengganu,p0,32133.081
2016,Terengganu,p1,2681.315
2016,Terengganu,p2,159.386
2016,Terengganu,p3,12115.969
2016,Terengganu,p4,919.66
2016,Terengganu,p5,16207.034
2016,Terengganu,p6,49.718
2016,Kuala Lumpur,p0,191640.985
2016,Kuala Lumpur,p1,0
2016,Kuala Lumpur,p2,129.065
2016,Kuala Lumpur,p3,5794.6
2016,Kuala Lumpur,p4,14509.479
2016,Kuala Lumpur,p5,168742.436
2016,Kuala Lumpur,p6,2463.885
2016,Labuan,p0,6412.031
2016,Labuan,p1,114.448
2016,Labuan,p2,0
2016,Labuan,p3,1255.813
2016,Labuan,p4,120.57
2016,Labuan,p5,4844.388
2016,Labuan,p6,76.813
2017,Johor,p0,123561.327
2017,Johor,p1,16169.986
2017,Johor,p2,655.514
2017,Johor,p3,36465.306
2017,Johor,p4,8407.258
2017,Johor,p5,59999.052
2017,Johor,p6,1864.21
2017,Kedah,p0,43066.583
2017,Kedah,p1,5465.003
2017,Kedah,p2,109.592
2017,Kedah,p3,12449.393
2017,Kedah,p4,928.052
2017,Kedah,p5,23808.188
2017,Kedah,p6,306.354
2017,Kelantan,p0,23501.175
2017,Kelantan,p1,5476.893
2017,Kelantan,p2,300.233
2017,Kelantan,p3,1277.854
2017,Kelantan,p4,520.898
2017,Kelantan,p5,15899.029
2017,Kelantan,p6,26.268
2017,Melaka,p0,40829.986
2017,Melaka,p1,4625.117
2017,Melaka,p2,56.59
2017,Melaka,p3,15620.547
2017,Melaka,p4,1720.331
2017,Melaka,p5,18613.275
2017,Melaka,p6,194.127
2017,Negeri Sembilan,p0,43815.729
2017,Negeri Sembilan,p1,3321.278
2017,Negeri Sembilan,p2,217.007
2017,Negeri Sembilan,p3,16653.928
2017,Negeri Sembilan,p4,1715.817
2017,Negeri Sembilan,p5,20915.752
2017,Negeri Sembilan,p6,991.945
2017,Pahang,p0,54591.139
2017,Pahang,p1,12253.554
2017,Pahang,p2,709.071
2017,Pahang,p3,11531.092
2017,Pahang,p4,3230.848
2017,Pahang,p5,26719.548
2017,Pahang,p6,147.025
2017,Perak,p0,69336.571
2017,Perak,p1,10941.99
2017,Perak,p2,438.054
2017,Perak,p3,12691.378
2017,Perak,p4,2113.067
2017,Perak,p5,43027.708
2017,Perak,p6,124.374
2017,Perlis,p0,5694.648
2017,Perlis,p1,1248.989
2017,Perlis,p2,30.706
2017,Perlis,p3,458.684
2017,Perlis,p4,121.183
2017,Perlis,p5,3722.87
2017,Perlis,p6,112.216
2017,Penang,p0,86767.823
2017,Penang,p1,2034.414
2017,Penang,p2,143.794
2017,Penang,p3,37425.53
2017,Penang,p4,2688.806
2017,Penang,p5,43458.075
2017,Penang,p6,1017.204
2017,Sabah,p0,83793.257
2017,Sabah,p1,13882.585
2017,Sabah,p2,25440.572
2017,Sabah,p3,6362.349
2017,Sabah,p4,2322.385
2017,Sabah,p5,35433.648
2017,Sabah,p6,351.717
2017,Sarawak,p0,130168.608
2017,Sarawak,p1,16728.012
2017,Sarawak,p2,30213.547
2017,Sarawak,p3,34811.03
2017,Sarawak,p4,4354.593
2017,Sarawak,p5,43541.213
2017,Sarawak,p6,520.213
2017,Selangor,p0,302186.45
2017,Selangor,p1,4319.285
2017,Selangor,p2,691.631
2017,Selangor,p3,84963.994
2017,Selangor,p4,17580.447
2017,Selangor,p5,186017.921
2017,Selangor,p6,8613.171
2017,Terengganu,p0,33978.557
2017,Terengganu,p1,2921.319
2017,Terengganu,p2,173.812
2017,Terengganu,p3,12586.427
2017,Terengganu,p4,1275.923
2017,Terengganu,p5,16916.309
2017,Terengganu,p6,104.767
2017,Kuala Lumpur,p0,206175.307
2017,Kuala Lumpur,p1,0
2017,Kuala Lumpur,p2,145.62
2017,Kuala Lumpur,p3,5870.658
2017,Kuala Lumpur,p4,16406.305
2017,Kuala Lumpur,p5,180195.571
2017,Kuala Lumpur,p6,3555.524
2017,Labuan,p0,6789.806
2017,Labuan,p1,118.722
2017,Labuan,p2,0
2017,Labuan,p3,1295.515
2017,Labuan,p4,135.768
2017,Labuan,p5,5092.569
2017,Labuan,p6,147.231
2018,Johor,p0,130585.945
2018,Johor,p1,16246.395
2018,Johor,p2,711.119
2018,Johor,p3,38337.729
2018,Johor,p4,9217.347
2018,Johor,p5,64401.807
2018,Johor,p6,1671.547
2018,Kedah,p0,44803.83
2018,Kedah,p1,5467.96
2018,Kedah,p2,114.924
2018,Kedah,p3,12827.215
2018,Kedah,p4,1008.855
2018,Kedah,p5,25104.159
2018,Kedah,p6,280.717
2018,Kelantan,p0,24142.691
2018,Kelantan,p1,5430.623
2018,Kelantan,p2,359.496
2018,Kelantan,p3,1281.173
2018,Kelantan,p4,324.425
2018,Kelantan,p5,16721.126
2018,Kelantan,p6,25.848
2018,Melaka,p0,42375.671
2018,Melaka,p1,4567.438
2018,Melaka,p2,61.964
2018,Melaka,p3,16334.858
2018,Melaka,p4,1495.597
2018,Melaka,p5,19730.706
2018,Melaka,p6,185.109
2018,Negeri Sembilan,p0,45694.04
2018,Negeri Sembilan,p1,3323.09
2018,Negeri Sembilan,p2,223.609
2018,Negeri Sembilan,p3,17208.037
2018,Negeri Sembilan,p4,1915.685
2018,Negeri Sembilan,p5,22126.197
2018,Negeri Sembilan,p6,897.422
2018,Pahang,p0,56289.94
2018,Pahang,p1,12418.561
2018,Pahang,p2,705.115
2018,Pahang,p3,12194.343
2018,Pahang,p4,2399.236
2018,Pahang,p5,28453.955
2018,Pahang,p6,118.73
2018,Perak,p0,73030.81
2018,Perak,p1,10993.834
2018,Perak,p2,460.602
2018,Perak,p3,13221.631
2018,Perak,p4,2336.763
2018,Perak,p5,45910.8
2018,Perak,p6,107.18
2018,Perlis,p0,5885.364
2018,Perlis,p1,1260.332
2018,Perlis,p2,32.582
2018,Perlis,p3,465.657
2018,Perlis,p4,147.251
2018,Perlis,p5,3881.139
2018,Perlis,p6,98.404
2018,Penang,p0,91234.235
2018,Penang,p1,1969.23
2018,Penang,p2,156.363
2018,Penang,p3,39458.422
2018,Penang,p4,2619.567
2018,Penang,p5,46120.484
2018,Penang,p6,910.17
2018,Sabah,p0,85012.016
2018,Sabah,p1,13836.318
2018,Sabah,p2,23993.921
2018,Sabah,p3,6513.729
2018,Sabah,p4,2918.088
2018,Sabah,p5,37423.047
2018,Sabah,p6,326.914
2018,Sarawak,p0,133009.823
2018,Sarawak,p1,16614.458
2018,Sarawak,p2,29626.577
2018,Sarawak,p3,35579.068
2018,Sarawak,p4,4402.37
2018,Sarawak,p5,46312.482
2018,Sarawak,p6,474.869
2018,Selangor,p0,323215.439
2018,Selangor,p1,4534.651
2018,Selangor,p2,737.317
2018,Selangor,p3,91132.978
2018,Selangor,p4,18645.768
2018,Selangor,p5,200323.506
2018,Selangor,p6,7841.217
2018,Terengganu,p0,34838.208
2018,Terengganu,p1,2846.927
2018,Terengganu,p2,183.225
2018,Terengganu,p3,13055.539
2018,Terengganu,p4,1161.133
2018,Terengganu,p5,17527.333
2018,Terengganu,p6,64.051
2018,Kuala Lumpur,p0,220358.974
2018,Kuala Lumpur,p1,0
2018,Kuala Lumpur,p2,145.724
2018,Kuala Lumpur,p3,5867.619
2018,Kuala Lumpur,p4,17446.124
2018,Kuala Lumpur,p5,193472.341
2018,Kuala Lumpur,p6,3425.512
2018,Labuan,p0,7244.941
2018,Labuan,p1,125.608
