date,state,percentile,variable,income
2024-01-01,Johor,33,maximum,5813.0
2024-01-01,Johor,34,mean,5857.0
2024-01-01,Johor,34,median,5858.0
2024-01-01,Johor,34,minimum,5819.0
2024-01-01,Johor,34,maximum,5904.0
2024-01-01,Johor,35,mean,5981.0
2024-01-01,Johor,35,median,5986.0
2024-01-01,Johor,35,minimum,5910.0
2024-01-01,Johor,35,maximum,6057.0
2024-01-01,Johor,36,mean,6106.0
2024-01-01,Johor,36,median,6109.0
2024-01-01,Johor,36,minimum,6059.0
2024-01-01,Johor,36,maximum,6152.0
2024-01-01,Johor,37,mean,6203.0
2024-01-01,Johor,37,median,6204.0
2024-01-01,Johor,37,minimum,6153.0
2024-01-01,Johor,37,maximum,6253.0
2024-01-01,Johor,38,mean,6311.0
2024-01-01,Johor,38,median,6313.0
2024-01-01,Johor,38,minimum,6253.0
2024-01-01,Johor,38,maximum,6371.0
2024-01-01,Johor,39,mean,6421.0
2024-01-01,Johor,39,median,6426.0
2024-01-01,Johor,39,minimum,6371.0
2024-01-01,Johor,39,maximum,6468.0
2024-01-01,Johor,40,mean,6516.0
2024-01-01,Johor,40,median,6510.0
2024-01-01,Johor,40,minimum,6469.0
2024-01-01,Johor,40,maximum,6567.0
2024-01-01,Johor,41,mean,6618.0
2024-01-01,Johor,41,median,6612.0
2024-01-01,Johor,41,minimum,6569.0
2024-01-01,Johor,41,maximum,6665.0
2024-01-01,Johor,42,mean,6710.0
2024-01-01,Johor,42,median,6713.0
2024-01-01,Johor,42,minimum,6665.0
2024-01-01,Johor,42,maximum,6756.0
2024-01-01,Johor,43,mean,6826.0
2024-01-01,Johor,43,median,6826.0
2024-01-01,Johor,43,minimum,6760.0
2024-01-01,Johor,43,maximum,6881.0
2024-01-01,Johor,44,mean,6922.0
2024-01-01,Johor,44,median,6920.0
2024-01-01,Johor,44,minimum,6882.0
2024-01-01,Johor,44,maximum,6965.0
2024-01-01,Johor,45,mean,7020.0
2024-01-01,Johor,45,median,7016.0
2024-01-01,Johor,45,minimum,6968.0
2024-01-01,Johor,45,maximum,7066.0
2024-01-01,Johor,46,mean,7124.0
2024-01-01,Johor,46,median,7119.0
2024-01-01,Johor,46,minimum,7067.0
2024-01-01,Johor,46,maximum,7194.0
2024-01-01,Johor,47,mean,7249.0
2024-01-01,Johor,47,median,7255.0
2024-01-01,Johor,47,minimum,7195.0
2024-01-01,Johor,47,maximum,7294.0
2024-01-01,Johor,48,mean,7354.0
2024-01-01,Johor,48,median,7350.0
2024-01-01,Johor,48,minimum,7299.0
2024-01-01,Johor,48,maximum,7408.0
2024-01-01,Johor,49,mean,7486.0
2024-01-01,Johor,49,median,7497.0
2024-01-01,Johor,49,minimum,7409.0
2024-01-01,Johor,49,maximum,7553.0
2024-01-01,Johor,50,mean,7633.0
2024-01-01,Johor,50,median,7627.0
2024-01-01,Johor,50,minimum,7555.0
2024-01-01,Johor,50,maximum,7712.0
2024-01-01,Johor,51,mean,7777.0
2024-01-01,Johor,51,median,7772.0
2024-01-01,Johor,51,minimum,7715.0
2024-01-01,Johor,51,maximum,7832.0
2024-01-01,Johor,52,mean,7906.0
2024-01-01,Johor,52,median,7920.0
2024-01-01,Johor,52,minimum,7836.0
2024-01-01,Johor,52,maximum,7957.0
2024-01-01,Johor,53,mean,8017.0
2024-01-01,Johor,53,median,8022.0
2024-01-01,Johor,53,minimum,7960.0
2024-01-01,Johor,53,maximum,8067.0
2024-01-01,Johor,54,mean,8108.0
2024-01-01,Johor,54,median,8108.0
2024-01-01,Johor,54,minimum,8069.0
2024-01-01,Johor,54,maximum,8152.0
2024-01-01,Johor,55,mean,8203.0
2024-01-01,Johor,55,median,8204.0
